;       proxy    proxy     proxy     ESPquad   ESP       ESP       ESP       ESP       ESP       MEGS-P    MEGS-P    ESP       ESP       ESP       ESP       Lat   Lon      proxy  proxy
;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
;END_OF_HEADER
2013 313 11 09
0027  1.85e-06  7.37e-08  8.30e-04  1.09e-03  8.77e-04  5.18e-04  9.30e-04  4.89e+00  4.92e+01  6.51e-03  3.93e+01  3.35e-01  1.76e-01  3.21e-01  1.68e-01 -18.0 -11.3  1.89e+03  1.95e-06
0028  1.86e-06  7.45e-08  8.30e-04  1.09e-03  8.77e-04  5.18e-04  9.29e-04  3.97e+00  4.92e+01  6.51e-03  3.93e+01  3.34e-01  1.75e-01  3.22e-01  1.69e-01 -18.0 -10.4  1.89e+03  1.96e-06
0029  1.84e-06  7.35e-08  8.30e-04  1.09e-03  8.77e-04  5.18e-04  9.29e-04  3.14e+00  4.92e+01  6.51e-03  3.93e+01  3.35e-01  1.76e-01  3.21e-01  1.68e-01 -18.0 -10.7  1.89e+03  1.94e-06
0030  1.80e-06  7.17e-08  8.30e-04  1.08e-03  8.78e-04  5.18e-04  9.29e-04  2.38e+00  4.91e+01  6.51e-03  3.93e+01  3.35e-01  1.76e-01  3.22e-01  1.67e-01 -18.0 -10.9  1.89e+03  1.92e-06
0031  1.78e-06  7.08e-08  8.30e-04  1.08e-03  8.78e-04  5.18e-04  9.30e-04  1.69e+00  4.91e+01  6.51e-03  3.93e+01  3.33e-01  1.77e-01  3.22e-01  1.68e-01 -17.8 -10.7  1.90e+03  1.90e-06
0032  1.74e-06  6.88e-08  8.31e-04  1.07e-03  8.78e-04  5.18e-04  9.31e-04  1.07e+00  4.91e+01  6.51e-03  3.93e+01  3.33e-01  1.77e-01  3.22e-01  1.69e-01 -17.7 -10.3  1.90e+03  1.87e-06
0033  1.69e-06  6.67e-08  8.32e-04  1.06e-03  8.78e-04  5.18e-04  9.33e-04  5.11e-01  4.91e+01  6.51e-03  3.93e+01  3.32e-01  1.77e-01  3.21e-01  1.70e-01 -17.6 -10.0  1.90e+03  1.84e-06
0034  1.67e-06  6.56e-08  8.32e-04  1.05e-03  8.78e-04  5.18e-04  9.33e-04  1.90e-02  4.91e+01  6.51e-03  3.93e+01  3.32e-01  1.77e-01  3.22e-01  1.70e-01 -17.6  -9.8  1.90e+03  1.83e-06
0035  1.63e-06  6.37e-08  8.33e-04  1.05e-03  8.78e-04  5.18e-04  9.34e-04 -1.00e+00  4.91e+01  6.51e-03  3.93e+01  3.31e-01  1.77e-01  3.21e-01  1.70e-01 -17.4  -9.7  1.90e+03  1.80e-06
0036  1.59e-06  6.23e-08  8.33e-04  1.04e-03  8.78e-04  5.18e-04  9.33e-04 -1.00e+00  4.91e+01  6.52e-03  3.93e+01  3.30e-01  1.78e-01  3.22e-01  1.70e-01 -17.4  -9.5  1.90e+03  1.77e-06
0037  1.55e-06  6.02e-08  8.33e-04  1.03e-03  8.78e-04  5.18e-04  9.33e-04 -1.00e+00  4.91e+01  6.52e-03  3.93e+01  3.29e-01  1.77e-01  3.23e-01  1.70e-01 -17.4  -8.7  1.90e+03  1.74e-06
0038  1.50e-06  5.83e-08  8.32e-04  1.02e-03  8.78e-04  5.18e-04  9.33e-04 -1.00e+00  4.91e+01  6.52e-03  3.93e+01  3.30e-01  1.76e-01  3.24e-01  1.70e-01 -17.6  -8.4  1.90e+03  1.71e-06
0039  1.47e-06  5.71e-08  8.32e-04  1.01e-03  8.78e-04  5.18e-04  9.32e-04 -1.00e+00  4.91e+01  6.52e-03  3.93e+01  3.30e-01  1.77e-01  3.22e-01  1.71e-01 -17.3  -9.0  1.91e+03  1.69e-06
0040  1.44e-06  5.59e-08  8.32e-04  1.01e-03  8.79e-04  5.19e-04  9.32e-04 -1.00e+00  4.91e+01  6.51e-03  3.93e+01  3.29e-01  1.78e-01  3.22e-01  1.71e-01 -17.2  -9.1  1.91e+03  1.67e-06
0041  1.43e-06  5.52e-08  8.32e-04  1.00e-03  8.78e-04  5.19e-04  9.33e-04 -1.00e+00  4.92e+01  6.51e-03  3.93e+01  3.28e-01  1.78e-01  3.22e-01  1.72e-01 -17.1  -8.6  1.91e+03  1.66e-06
0042  1.41e-06  5.46e-08  8.32e-04  9.98e-04  8.79e-04  5.20e-04  9.32e-04 -1.00e+00  4.91e+01  6.51e-03  3.93e+01  3.29e-01  1.78e-01  3.22e-01  1.72e-01 -17.1  -8.9  1.91e+03  1.65e-06
0043  1.39e-06  5.35e-08  8.32e-04  9.92e-04  8.79e-04  5.20e-04  9.32e-04 -1.00e+00  4.91e+01  6.51e-03  3.93e+01  3.29e-01  1.78e-01  3.22e-01  1.71e-01 -17.2  -9.1  1.91e+03  1.63e-06
0044  1.35e-06  5.20e-08  8.32e-04  9.88e-04  8.79e-04  5.21e-04  9.32e-04 -1.00e+00  4.91e+01  6.51e-03  3.93e+01  3.27e-01  1.79e-01  3.23e-01  1.71e-01 -17.1  -8.5  1.91e+03  1.61e-06
0045  1.35e-06  5.23e-08  8.31e-04  9.85e-04  8.80e-04  5.20e-04  9.31e-04 -1.00e+00  4.91e+01  6.51e-03  3.93e+01  3.28e-01  1.79e-01  3.22e-01  1.71e-01 -17.1  -8.8  1.91e+03  1.61e-06
0046  1.34e-06  5.17e-08  8.31e-04  9.83e-04  8.80e-04  5.20e-04  9.30e-04 -1.00e+00  4.91e+01  6.52e-03  3.93e+01  3.29e-01  1.78e-01  3.21e-01  1.71e-01 -17.2  -9.2  1.91e+03  1.60e-06
0047  1.34e-06  5.19e-08  8.31e-04  9.84e-04  8.80e-04  5.20e-04  9.31e-04 -1.00e+00  4.92e+01  6.52e-03  3.93e+01  3.29e-01  1.77e-01  3.22e-01  1.72e-01 -17.2  -8.7  1.92e+03  1.61e-06
0048  1.35e-06  5.23e-08  8.32e-04  9.85e-04  8.81e-04  5.21e-04  9.32e-04 -1.00e+00  4.91e+01  6.52e-03  3.93e+01  3.29e-01  1.78e-01  3.21e-01  1.72e-01 -17.0  -9.0  1.92e+03  1.61e-06
0049  1.34e-06  5.18e-08  8.33e-04  9.87e-04  8.81e-04  5.21e-04  9.33e-04 -1.00e+00  4.92e+01  6.52e-03  3.93e+01  3.28e-01  1.78e-01  3.21e-01  1.72e-01 -17.0  -8.5  1.92e+03  1.61e-06
0050  1.35e-06  5.23e-08  8.33e-04  9.88e-04  8.81e-04  5.21e-04  9.33e-04 -1.00e+00  4.92e+01  6.51e-03  3.93e+01  3.30e-01  1.77e-01  3.22e-01  1.72e-01 -17.2  -8.8  1.92e+03  1.61e-06
0051  1.33e-06  5.17e-08  8.32e-04  9.86e-04  8.81e-04  5.21e-04  9.32e-04 -1.00e+00  4.92e+01  6.51e-03  3.93e+01  3.30e-01  1.78e-01  3.21e-01  1.71e-01 -17.2  -9.1  1.92e+03  1.60e-06
0052  1.35e-06  5.24e-08  8.32e-04  9.85e-04  8.81e-04  5.21e-04  9.32e-04 -1.00e+00  4.92e+01  6.51e-03  3.93e+01  3.30e-01  1.78e-01  3.21e-01  1.72e-01 -17.1  -9.2  1.92e+03  1.61e-06
0053  1.31e-06  5.10e-08  8.32e-04  9.81e-04  8.81e-04  5.21e-04  9.30e-04 -1.00e+00  4.92e+01  6.51e-03  3.93e+01  3.30e-01  1.78e-01  3.20e-01  1.72e-01 -17.0  -9.2  1.92e+03  1.59e-06
0054  1.29e-06  5.00e-08  8.31e-04  9.78e-04  8.82e-04  5.20e-04  9.30e-04 -1.00e+00  4.92e+01  6.50e-03  3.93e+01  3.29e-01  1.78e-01  3.22e-01  1.72e-01 -17.1  -8.9  1.92e+03  1.57e-06
0055  1.28e-06  4.99e-08  8.31e-04  9.75e-04  8.82e-04  5.20e-04  9.30e-04 -1.00e+00  4.93e+01  6.50e-03  3.93e+01  3.28e-01  1.79e-01  3.22e-01  1.72e-01 -16.9  -8.7  1.93e+03  1.57e-06
0056  1.27e-06  4.92e-08  8.31e-04  9.71e-04  8.82e-04  5.19e-04  9.30e-04 -1.00e+00  4.92e+01  6.50e-03  3.93e+01  3.29e-01  1.78e-01  3.21e-01  1.72e-01 -17.0  -8.9  1.93e+03  1.56e-06
0057  1.25e-06  4.87e-08  8.31e-04  9.66e-04  8.83e-04  5.19e-04  9.29e-04 -1.00e+00  4.92e+01  6.50e-03  3.93e+01  3.28e-01  1.78e-01  3.21e-01  1.72e-01 -17.0  -8.7  1.93e+03  1.55e-06
0058  1.22e-06  4.74e-08  8.30e-04  9.59e-04  8.83e-04  5.19e-04  9.28e-04 -1.00e+00  4.92e+01  6.50e-03  3.93e+01  3.28e-01  1.78e-01  3.22e-01  1.72e-01 -16.9  -8.4  1.93e+03  1.53e-06
0059  1.19e-06  4.63e-08  8.31e-04  9.53e-04  8.83e-04  5.19e-04  9.29e-04 -1.00e+00  4.92e+01  6.50e-03  3.94e+01  3.27e-01  1.78e-01  3.22e-01  1.73e-01 -16.8  -8.0  1.93e+03  1.51e-06
0100  1.16e-06  4.50e-08  8.31e-04  9.48e-04  8.83e-04  5.18e-04  9.30e-04 -1.00e+00  4.92e+01  6.49e-03  3.94e+01  3.28e-01  1.79e-01  3.20e-01  1.73e-01 -16.8  -8.6  1.93e+03  1.49e-06
0101  1.14e-06  4.44e-08  8.32e-04  9.43e-04  8.83e-04  5.19e-04  9.31e-04 -1.00e+00  4.93e+01  6.49e-03  3.94e+01  3.27e-01  1.78e-01  3.21e-01  1.74e-01 -16.7  -8.3  1.93e+03  1.48e-06
0102  1.14e-06  4.42e-08  8.32e-04  9.40e-04  8.84e-04  5.19e-04  9.32e-04 -1.00e+00  4.93e+01  6.49e-03  3.94e+01  3.25e-01  1.78e-01  3.21e-01  1.76e-01 -16.4  -7.2  1.93e+03  1.47e-06
0103  1.11e-06  4.33e-08  8.33e-04  9.36e-04  8.84e-04  5.19e-04  9.32e-04 -1.00e+00  4.93e+01  6.49e-03  3.94e+01  3.24e-01  1.79e-01  3.21e-01  1.76e-01 -16.3  -6.9  1.94e+03  1.46e-06
0104  1.09e-06  4.24e-08  8.34e-04  9.32e-04  8.85e-04  5.20e-04  9.33e-04 -1.00e+00  4.93e+01  6.49e-03  3.94e+01  3.24e-01  1.79e-01  3.22e-01  1.75e-01 -16.4  -7.0  1.94e+03  1.44e-06
0105  1.05e-06  4.10e-08  8.34e-04  9.22e-04  8.85e-04  5.20e-04  9.33e-04 -1.00e+00  4.93e+01  6.49e-03  3.94e+01  3.23e-01  1.79e-01  3.23e-01  1.74e-01 -16.5  -6.5  1.94e+03  1.41e-06
