INDEX,FLARE_START,FLARE_PEAK,FLARE_END,CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN,LOC,NOAA_AR,RSI_OBSERVED,RSI_FLARE_TRIGGERED,RSI_FRAC_OBS,RSI_FRAC_OBS_RISE,RSI_FRAC_OBS_FALL,FERMI_OBSERVED,FERMI_FRAC_OBS,FERMI_FRAC_OBS_RISE,FERMI_FRAC_OBS_FALL,MEGSA_OBSERVED,MEGSB_OBSERVED,MEGSB_FRAC_OBS,MEGSB_FRAC_OBS_RISE,MEGSB_FRAC_OBS_FALL,EIS_OBSERVED,EIS_FRAC_OBS,EIS_FRAC_OBS_RISE,EIS_FRAC_OBS_FALL,XRT_OBSERVED,XRT_RISE_OBSERVED,XRT_FALL_OBSERVED,SOT_OBSERVED,SOT_RISE_OBSERVED,SOT_FALL_OBSERVED,IRIS_OBSERVED,IRIS_FRAC_OBS,IRIS_FRAC_OBS_RISE,IRIS_FRAC_OBS_FALL,gstart,gpeak,gend,gclass,contrasts,sxr_max,sxrderivmax_t,sxrderivmax,tempmax_t,tempmax,tempderivmax_t,tempderivmax,emismax_t,emismax,emisderivmax_t,emisderivmax
8709,2013-12-31 21:45:00,2013-12-31 21:58:00,2013-12-31 22:20:00,M6.4,,0.0,0.0,S16W35,11936.0,1,1,0.278095,0.0,0.442424,1,0.731686,1.0,0.573136,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0,31-Dec-2013 21:45:00,31-Dec-2013 21:58:00,31-Dec-2013 21:45:00,M6.4,10.1092,9.30308e-05,464.897,4.59458e-07,720.897,15.3912,276.48,0.0663274,899.073,3.3242,464.897,0.0162239
8713,2014-01-01 18:40:00,2014-01-01 18:52:00,2014-01-01 19:03:00,M9.9,S10W44,665.04,-233.41,S14W47,11936.0,1,1,0.637681,0.309392,1.0,1,0.487348,0.934083,0.0,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,0,1,1,1,0,0.0,0.0,0.0, 1-Jan-2014 18:40:00, 1-Jan-2014 18:52:00, 1-Jan-2014 18:40:00,M9.9,12.0331,0.000143749,425.98,6.17463e-07,483.324,14.9962,317.437,0.0651995,731.134,5.46673,425.98,0.0214474
8759,2014-01-07 18:04:00,2014-01-07 18:32:00,2014-01-07 18:58:00,X1.2,S03W07,133.373,-140.852,,11944.0,1,1,0.171605,0.206651,0.133333,1,0.413885,0.0,0.859607,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0.0,0.0,0.0, 7-Jan-2014 18:04:00, 7-Jan-2014 18:32:00, 7-Jan-2014 18:04:00,X1.2,12.9511,0.000179397,909.306,2.5746e-07,913.403,15.7424,10.24,0.0720375,1884.15,7.36228,0.0,0.0094847
9050,2014-02-14 12:29:00,2014-02-14 12:40:00,2014-02-14 12:45:00,M1.6,S04W34,542.517,-142.42,S15W36,11974.0,1,1,1.0,1.0,1.0,1,0.884521,1.0,0.630467,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1.0,1.0,1.0,14-Feb-2014 12:29:00,14-Feb-2014 12:40:00,14-Feb-2014 12:29:00,M1.6,10.6491,2.31578e-05,624.633,1.43409e-07,665.593,12.3893,0.0,0.126717,692.216,0.978253,16.386,0.0128657
9130,2014-02-25 00:39:00,2014-02-25 00:49:00,2014-02-25 01:03:00,X4.9,,0.0,0.0,S12E82,11990.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,25-Feb-2014 00:39:00,25-Feb-2014 00:49:00,25-Feb-2014 00:39:00,X4.9,13.3554,0.00071434,382.974,5.07062e-06,397.31,21.9732,182.274,0.112849,655.357,24.1251,382.974,0.141832
10647,2014-10-22 14:02:00,2014-10-22 14:28:00,2014-10-22 14:50:00,X1.6,S14E13,-211.226,-317.398,S14E13,12192.0,1,1,0.848611,1.0,0.669697,1,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1.0,1.0,1.0,22-Oct-2014 14:02:00,22-Oct-2014 14:28:00,22-Oct-2014 14:02:00,X1.6,15.7647,0.000239056,262.14,6.1017e-07,462.844,20.0191,190.464,0.106175,1654.764,8.31348,262.14,0.0203565
10665,2014-10-24 21:07:00,2014-10-24 21:41:00,2014-10-24 22:13:00,X3.1,,0.0,0.0,S16W21,12192.0,1,1,0.90202,1.0,0.797917,1,0.637748,0.308853,0.9872,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0,24-Oct-2014 21:07:00,24-Oct-2014 21:41:00,24-Oct-2014 21:07:00,X3.1,15.5698,0.000458366,505.853,1.14757e-06,600.06,19.4651,251.903,0.0336904,2093.043,15.8576,503.807,0.0341132
11122,2014-12-20 00:11:00,2014-12-20 00:28:00,2014-12-20 00:55:00,X1.8,,0.0,0.0,S21W24,12242.0,1,1,0.462121,0.0,0.753086,1,0.574273,1.0,0.306223,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0,20-Dec-2014 00:11:00,20-Dec-2014 00:28:00,20-Dec-2014 00:11:00,X1.8,15.4938,0.000271928,632.837,9.48346e-07,565.25,17.1774,206.85,0.236378,1030.15,9.80713,61.44,0.0541243
12019,2015-05-05 22:05:00,2015-05-05 22:11:00,2015-05-05 22:15:00,X2.7,N16E77,-902.214,257.117,,12339.0,1,1,1.0,1.0,1.0,1,0.312293,0.520489,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 5-May-2015 22:05:00, 5-May-2015 22:11:00, 5-May-2015 22:05:00,X2.7,13.9168,0.000399593,223.233,3.84006e-06,282.623,18.1186,143.36,0.195703,374.783,13.0741,260.096,0.121799
12337,2015-06-25 08:02:00,2015-06-25 08:16:00,2015-06-25 09:05:00,M7.9,N13W39,595.249,169.78,N09W42,12371.0,1,1,0.28254,0.0,0.363265,1,0.618132,1.0,0.509027,0,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,1,1,0,0.0,0.0,0.0,25-Jun-2015 08:02:00,25-Jun-2015 08:16:00,25-Jun-2015 08:02:00,M7.9,26.785,0.000114515,759.804,1.87335e-06,806.907,16.2164,188.414,0.056239,913.404,4.12878,759.804,0.0689029
14384,2016-07-23 05:27:00,2016-07-23 05:31:00,2016-07-23 05:33:00,M5.5,N02W71,912.342,11.1135,N02W74,12567.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0,1,1.0,1.0,1.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,23-Jul-2016 05:27:00,23-Jul-2016 05:31:00,23-Jul-2016 05:27:00,M5.5,13.4455,8.22682e-05,215.04,6.90801e-07,243.71,13.7279,206.847,0.0453708,260.097,3.18767,215.04,0.0220802
15861,2017-09-06 11:53:00,2017-09-06 12:02:00,2017-09-06 12:10:00,X9.3,S10W33,527.439,-246.826,S08W33,12673.0,1,0,0.27451,0.0,0.583333,1,0.153025,0.0,0.325178,0,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 6-Sep-2017 11:53:00, 6-Sep-2017 12:02:00, 6-Sep-2017 11:53:00,X9.3,19.5178,0.00135134,264.19,9.05636e-06,241.66,21.4276,81.92,0.175323,567.283,41.6343,264.19,0.267943
