time,6-12 keV,12-25 keV,25-50 keV,50-100 keV,100-300 keV,300-800 keV
09/11/13 05:09,65.3934,353.663,280.432,163.361,148.421,45.5549
09/11/13 05:09,61.7236,369.117,277.512,165.331,149.41,46.0478
09/11/13 05:10,62.6943,341.635,265.226,157.715,145.47,45.0616
09/11/13 05:10,58.5361,367.382,252.514,167.771,142.544,47.2698
09/11/13 05:10,61.7211,360.04,271.132,158.711,149.404,49.4749
09/11/13 05:10,60.7286,349.434,251.975,163.575,132.721,38.9349
09/11/13 05:10,56.0781,331.326,272.064,159.908,142.032,43.3442
09/11/13 05:10,58.0358,329.849,274.017,165.047,153.048,41.6291
09/11/13 05:10,62.9443,358.562,270.146,166.3,152.83,48.9839
09/11/13 05:10,57.3025,340.387,270.595,157.704,151.338,44.8135
09/11/13 05:10,62.2027,343.584,260.321,165.547,151.099,52.8967
09/11/13 05:10,56.8105,331.803,255.647,152.311,142.761,45.3015
09/11/13 05:10,55.3417,339.886,265.934,155.74,136.64,47.5057
09/11/13 05:10,48.4843,337.676,263.725,155.982,149.371,48.4843
09/11/13 05:10,58.2794,327.393,261.767,154.024,146.678,50.9332
09/11/13 05:10,52.645,320.033,239.473,159.159,133.204,41.6263
09/11/13 05:11,50.6844,312.676,249.259,154.991,148.87,42.1146
09/11/13 05:11,54.6033,323.947,261.018,154.75,137.12,44.0744
09/11/13 05:11,53.1337,333.493,252.936,156.463,151.81,43.0946
09/11/13 05:11,58.5161,311.188,231.126,154.492,139.312,47.4984
09/11/13 05:11,56.5635,305.1,248.047,165.283,150.836,41.1371
09/11/13 05:11,54.8481,320.763,245.837,161.851,145.445,48.4818
09/11/13 05:11,56.5578,297.969,242.88,145.434,149.597,50.6816
09/11/13 05:11,52.3925,291.586,247.763,151.057,140.774,46.2719
09/11/13 05:11,47.2517,291.345,243.848,154.241,151.793,47.7413
09/11/13 05:11,52.8846,298.7,245.571,160.368,140.781,47.4982
09/11/13 05:11,54.3518,296.242,238.217,157.914,148.855,41.6207
09/11/13 05:11,53.1276,290.855,240.421,152.528,141.755,41.6207
09/11/13 05:11,52.1487,295.999,237.485,154.977,144.694,43.8245
09/11/13 05:11,50.6778,286.684,243.351,144.934,143.709,49.2089
09/11/13 05:11,50.6768,288.393,232.085,146.645,135.383,46.7598
09/11/13 05:12,46.7647,288.913,261.246,167.716,136.377,44.0715
09/11/13 05:12,51.6576,288.156,249.229,151.79,148.852,45.537
09/11/13 05:12,52.6347,264.887,233.551,145.174,142.971,50.4314
09/11/13 05:12,52.8775,277.851,234.277,154.96,134.886,50.4294
09/11/13 05:12,50.6787,284.976,241.397,143.712,140.774,50.4339
09/11/13 05:12,46.5126,259.981,239.907,151.533,136.845,47.9814
09/11/13 05:12,45.2886,279.565,241.621,157.409,135.866,47.0022
09/11/13 05:12,46.9979,269.503,222.016,147.113,137.811,39.8992
09/11/13 05:12,44.7963,249.195,230.836,155.196,142.957,46.0203
09/11/13 05:12,48.7086,245.746,222.983,142.699,141.965,45.5266
09/11/13 05:12,46.7524,235.231,220.789,153.72,132.669,47.242
09/11/13 05:12,41.6148,244.548,239.408,160.34,146.876,48.7138
09/11/13 05:12,45.037,254.557,218.576,150.287,133.153,41.1208
09/11/13 05:12,42.3464,240.371,228.132,150.048,137.32,40.6329
09/11/13 05:13,41.6119,258.238,225.928,145.397,137.564,45.2835
09/11/13 05:13,44.5485,248.933,214.91,148.087,140.254,51.4021
09/11/13 05:13,40.6321,246.73,225.435,142.457,134.624,47.2409
09/11/13 05:13,41.8535,227.624,202.904,150.281,142.938,48.9515
09/11/13 05:13,40.3819,233.97,217.328,142.193,137.054,38.1793
09/11/13 05:13,36.4677,233.491,210.73,145.137,131.92,44.7892
09/11/13 05:13,41.8541,242.313,220.285,142.94,140.737,42.0988
09/11/13 05:13,41.6087,224.687,226.4,152.484,138.043,46.5038
09/11/13 05:13,39.4034,220.267,203.135,148.069,133.629,50.172
09/11/13 05:13,38.1796,228.343,203.38,143.418,146.6,48.9482
09/11/13 05:13,38.1797,221.736,211.701,148.558,134.852,44.7877
09/11/13 05:13,41.1153,226.134,202.395,142.68,142.435,42.0943
09/11/13 05:13,33.5282,217.566,209.49,145.371,139.497,41.8491
09/11/13 05:13,41.3569,211.679,214.371,140.222,134.104,43.8041
09/11/13 05:13,34.0157,209.478,208.254,135.818,145.362,46.4963
09/11/13 05:14,34.9971,215.612,205.578,131.423,144.394,43.0734
09/11/13 05:14,37.6868,207.278,195.042,138.267,140.959,45.2732
09/11/13 05:14,39.8905,213.647,207.773,132.642,133.866,44.0509
09/11/13 05:14,32.7924,208.991,200.425,130.925,143.406,51.1464
09/11/13 05:14,31.5714,205.581,214.392,145.131,140.236,48.4584
09/11/13 05:14,37.9361,200.205,201.918,148.807,149.052,49.684
09/11/13 05:14,38.1763,189.903,212.417,141.203,127.989,41.6024
09/11/13 05:14,36.7075,202.87,197.731,145.606,132.881,47.7197
09/11/13 05:14,37.4397,193.561,203.839,140.95,134.587,46.0044
09/11/13 05:14,35.9721,190.383,198.458,138.016,135.324,43.0687
09/11/13 05:14,35.9734,197.242,202.626,141.446,135.818,49.4328
09/11/13 05:14,36.951,189.649,195.767,130.43,148.294,49.1865
09/11/13 05:14,36.707,190.877,196.505,142.423,145.849,49.6769
09/11/13 05:14,30.0958,194.522,187.915,126.99,129.436,45.5107
09/11/13 05:14,29.8534,184.259,200.41,132.383,131.404,50.8977
09/11/13 05:15,36.4578,172.746,182.289,129.927,132.618,48.9366
09/11/13 05:15,31.5656,184.5,199.181,141.923,129.933,44.045
09/11/13 05:15,28.1404,178.386,195.025,139.723,131.403,42.8223
09/11/13 05:15,37.1926,175.441,180.09,133.844,145.589,48.9376
09/11/13 05:15,28.6291,184.254,181.807,152.688,135.56,43.5553
09/11/13 05:15,25.9374,186.7,194.285,139.719,138.985,45.7574
09/11/13 05:15,32.7876,174.215,183.024,134.576,135.8,37.6813
09/11/13 05:15,27.4066,174.717,189.155,143.885,145.353,40.8652
09/11/13 05:15,32.7887,170.061,194.53,134.091,137.761,46.002
09/11/13 05:15,29.1182,166.879,178.135,143.633,133.846,51.6297
09/11/13 05:15,31.0735,164.42,197.696,124.538,136.527,46.7325
09/11/13 05:15,29.3604,158.546,179.098,147.047,137.505,51.136
09/11/13 05:15,32.2974,166.38,192.561,140.2,134.817,42.5738
09/11/13 05:15,27.8932,171.029,190.114,140.2,133.104,44.2865
09/11/13 05:16,27.8922,160.502,182.767,131.142,137.259,45.5083
09/11/13 05:16,26.1807,160.51,183.265,133.595,143.138,45.0211
09/11/13 05:16,30.3382,162.212,175.668,127.714,133.341,50.4006
09/11/13 05:16,25.445,153.159,180.072,131.873,140.681,43.3054
09/11/13 05:16,25.69,152.672,176.894,135.301,140.439,48.6886
09/11/13 05:16,30.8287,158.303,177.632,129.187,140.442,47.9557
09/11/13 05:16,26.9143,171.028,175.922,140.933,141.422,43.0629
09/11/13 05:16,28.6264,156.344,176.163,133.835,136.281,44.0406
09/11/13 05:16,22.508,159.758,177.862,138.228,132.357,46.9732
09/11/13 05:16,27.6462,151.198,178.844,144.837,129.423,50.3993
09/11/13 05:16,29.3595,152.18,180.316,126.735,135.054,45.7519
09/11/13 05:16,25.4438,143.121,169.054,142.632,130.155,52.8447
09/11/13 05:16,22.9972,147.28,177.128,135.781,131.867,45.9944
09/11/13 05:16,27.4016,152.666,169.058,131.381,135.54,45.0169
09/11/13 05:16,28.6235,145.564,177.368,131.619,137.002,45.9934
09/11/13 05:17,24.9519,132.588,168.059,128.429,122.558,46.9683
09/11/13 05:17,21.7735,149.723,170.029,131.864,138.959,40.3665
09/11/13 05:17,24.9537,137.735,166.113,137.49,138.958,41.8341
09/11/13 05:17,19.8158,143.848,162.93,134.552,135.041,41.8333
09/11/13 05:17,23.2434,155.853,173.469,137.259,140.195,41.3489
09/11/13 05:17,21.2853,146.55,164.655,131.871,141.657,42.0812
09/11/13 05:17,24.4665,161.968,162.213,135.3,132.608,44.7737
09/11/13 05:17,26.4202,145.311,156.564,129.899,139.684,42.0766
09/11/13 05:17,22.751,134.793,168.064,127.699,129.656,40.12
09/11/13 05:17,25.4426,139.445,171.004,127.213,133.329,44.2799
09/11/13 05:17,20.7953,136.515,172.968,135.781,139.206,41.5907
09/11/13 05:17,23.2417,141.652,164.404,125.016,148.013,44.0369
09/11/13 05:17,23.9752,133.576,167.826,145.564,131.13,43.7914
09/11/13 05:17,26.1775,129.664,174.19,135.047,135.291,50.8871
09/11/13 05:17,23.9746,128.925,169.046,136.998,138.955,46.2368
09/11/13 05:18,19.081,139.194,162.923,134.301,134.79,42.81
09/11/13 05:18,27.6425,127.204,155.336,127.693,133.564,48.9247
09/11/13 05:18,22.0176,135.775,177.364,126.968,137.977,42.3226
09/11/13 05:18,25.1963,127.694,162.675,133.565,135.767,45.5002
09/11/13 05:18,26.4215,128.682,163.666,131.129,138.957,50.3965
09/11/13 05:18,27.6457,127.219,168.565,138.962,134.314,51.6215
09/11/13 05:18,21.038,133.811,158.03,122.559,134.545,47.7024
09/11/13 05:18,23.2405,125.254,156.812,132.838,145.314,46.2363
09/11/13 05:18,26.9111,134.066,163.913,129.662,152.414,43.0577
09/11/13 05:18,27.1541,133.08,157.054,141.886,128.921,43.7891
09/11/13 05:18,22.7496,134.296,153.376,126.957,139.677,43.2975
09/11/13 05:18,25.9324,124.28,165.136,134.555,141.16,47.2166
09/11/13 05:18,19.5707,121.828,164.883,130.635,134.549,43.5449
09/11/13 05:18,20.7949,126.726,167.338,135.778,137.98,42.0791
09/11/13 05:19,21.5266,125.735,161.205,129.405,133.808,48.435
09/11/13 05:19,22.2602,114.97,168.052,126.712,134.295,46.2328
09/11/13 05:19,20.3047,121.828,159.991,130.146,138.219,42.8112
09/11/13 05:19,26.1774,124.526,161.468,129.175,144.098,47.2172
09/11/13 05:19,26.4193,122.067,163.653,126.715,137.967,44.0322
09/11/13 05:19,26.4192,113.505,173.682,130.384,129.65,47.946
09/11/13 05:19,25.6845,118.883,159.489,129.89,134.293,37.426
09/11/13 05:19,24.7096,127.707,169.053,138.227,136.514,45.2602
09/11/13 05:19,23.2403,130.39,171,137.974,136.262,45.5021
09/11/13 05:19,23.4836,119.13,161.205,121.821,136.499,42.3194
09/11/13 05:19,22.5063,131.123,153.385,132.591,139.441,47.2142
09/11/13 05:19,21.0372,127.691,149.217,129.403,132.094,47.2113
09/11/13 05:19,19.3255,122.313,139.927,134.3,150.446,47.9469
09/11/13 05:19,21.5262,132.582,148.482,123.042,144.813,43.5417
09/11/13 05:19,21.2836,120.852,155.591,130.148,150.698,46.4815
09/11/13 05:20,26.1755,125.985,161.701,132.1,137.238,41.3426
09/11/13 05:20,22.2605,122.8,162.918,128.671,129.404,41.3409
09/11/13 05:20,27.3995,125.744,164.642,135.041,137.242,48.6831
09/11/13 05:20,22.9971,121.836,171.011,133.824,141.653,45.505
09/11/13 05:20,22.7505,121.825,149.957,124.027,138.949,43.0546
09/11/13 05:20,21.7729,121.341,162.93,132.35,141.401,53.0867
