GEV_START,GEV_PEAK,GEV_END,GOES_CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN
"2011-02-07T21:24:00","2011-02-07T21:29:00","2011-02-07T21:29:00","B1.3","N21W64",802.848,321.039
"2011-02-08T01:55:00","2011-02-08T01:59:00","2011-02-08T02:01:00","B2.0","N20W65",823.044,301.861
"2011-02-08T06:48:00","2011-02-08T06:57:00","2011-02-08T06:57:00","B1.9","N21W64",802.794,321.197
"2011-02-08T08:17:00","2011-02-08T08:19:00","2011-02-08T08:22:00","B1.9","N05E90",-968.370,86.1000
"2011-02-08T09:10:00","2011-02-08T09:15:00","2011-02-08T09:17:00","B2.4","N20W69",841.476,313.031
"2011-02-08T10:28:00","2011-02-08T10:29:00","2011-02-08T10:31:00","B1.6","N05E90",-968.352,86.0994
"2011-02-08T11:34:00","2011-02-08T11:39:00","2011-02-08T11:40:00","B1.9","N17W71",873.396,259.500
"2011-02-08T14:44:00","2011-02-08T14:49:00","2011-02-08T14:52:00","B5.0","N20W72",861.582,308.000
"2011-02-08T18:46:00","2011-02-08T18:54:00","2011-02-08T18:56:00","C1.0","N20W71",855.108,309.766
"2011-02-08T21:06:00","2011-02-08T21:09:00","2011-02-08T21:12:00","C4.0","N20W72",861.546,308.075
"2011-02-09T00:08:00","2011-02-09T00:13:00","2011-02-09T00:13:00","C1.1","N19W74",873.636,304.631
"2011-02-09T01:23:00","2011-02-09T01:28:00","2011-02-09T01:31:00","M1.9","N19W75",879.282,302.886
"2011-02-09T05:42:00","2011-02-09T05:47:00","2011-02-09T05:47:00","B4.3","N31E38",-509.203,433.057
"2011-02-09T07:23:00","2011-02-09T07:28:00","2011-02-09T07:30:00","B3.2","N18W81",903.450,293.983
"2011-02-09T10:15:00","2011-02-09T10:18:00","2011-02-09T10:23:00","B5.4","N31E34",-469.039,436.142
"2011-02-09T16:19:00","2011-02-09T16:27:00","2011-02-09T16:27:00","B8.6","N17W91",920.880,297.214
"2011-02-09T18:59:00","2011-02-09T19:05:00","2011-02-09T19:08:00","B2.6","N17W91",926.154,291.629
"2011-02-09T19:57:00","2011-02-09T20:04:00","2011-02-09T20:11:00","B2.9","N31E26",-372.914,427.162
"2011-02-09T22:07:00","2011-02-09T22:08:00","2011-02-09T22:13:00","B3.3","N17W91",928.254,287.884
"2011-02-09T22:54:00","2011-02-09T23:03:00","2011-02-09T23:03:00","B7.9","N16W91",930.942,275.518
"2011-02-10T06:19:00","2011-02-10T06:40:00","2011-02-10T06:50:00","C1.9","N16W91",933.020,271.746
"2011-02-10T06:55:00","2011-02-10T06:58:00","2011-02-10T07:25:00","C2.1","N18W91",923.094,303.910
"2011-02-10T09:24:00","2011-02-10T09:28:00","2011-02-10T09:33:00","B4.4","S07E16",-269.851,-214.457
"2011-02-10T12:28:00","2011-02-10T12:30:00","2011-02-10T12:34:00","C4.7","N18W91",923.052,303.900
"2011-02-10T13:33:00","2011-02-10T13:45:00","2011-02-10T13:52:00","C2.6","N16W91",932.970,271.737
"2011-02-10T14:38:00","2011-02-10T14:42:00","2011-02-10T14:47:00","B6.7","N16W91",932.964,271.736
"2011-02-10T20:49:00","2011-02-10T20:53:00","2011-02-10T20:57:00","B5.3","S08E08",-143.501,-227.327
"2011-02-11T03:56:00","2011-02-11T04:01:00","2011-02-11T04:07:00","B3.1","N17W91",928.050,287.840
"2011-02-11T07:58:00","2011-02-11T08:00:00","2011-02-11T08:13:00","B9.0","N17W91",928.025,287.834
"2011-02-11T21:28:00","2011-02-11T21:57:00","2011-02-11T22:40:00","B8.2","N29E35",-488.562,406.059
"2011-02-11T23:05:00","2011-02-11T23:12:00","2011-02-11T23:19:00","B9.6","S10E28",-455.337,-255.625
"2011-02-12T00:59:00","2011-02-12T01:00:00","2011-02-12T01:10:00","B8.6","N25E92",-878.449,414.986
"2011-02-12T02:39:00","2011-02-12T02:45:00","2011-02-12T02:46:00","B5.2","N09E90",-959.076,154.859
"2011-02-12T04:13:00","2011-02-12T04:16:00","2011-02-12T04:21:00","B3.8","N32W03",47.9821,437.916
"2011-02-12T06:42:00","2011-02-12T06:45:00","2011-02-12T06:47:00","B3.0","N29E26",-377.285,397.982
"2011-02-12T10:47:00","2011-02-12T10:51:00","2011-02-12T10:59:00","B2.3","N32W09",127.584,437.191
"2011-02-12T11:46:00","2011-02-12T11:51:00","2011-02-12T11:51:00","B1.9","N12E91",-949.722,204.483
"2011-02-12T14:30:00","2011-02-12T15:00:00","2011-02-12T15:06:00","C2.6","N29E22",-317.273,401.060
"2011-02-12T17:26:00","2011-02-12T17:33:00","2011-02-12T17:41:00","B5.6","N11E91",-953.070,187.990
"2011-02-12T18:21:00","2011-02-12T18:26:00","2011-02-12T18:26:00","B4.7","N30E21",-300.242,417.226
"2011-02-12T19:13:00","2011-02-12T19:16:00","2011-02-12T19:21:00","B5.8","N29E20",-286.662,402.437
"2011-02-12T20:23:00","2011-02-12T20:33:00","2011-02-12T20:36:00","B8.9","N10E91",-947.868,183.193
"2011-02-13T00:36:00","2011-02-13T00:42:00","2011-02-13T00:47:00","B8.5","N30E15",-224.431,404.703
"2011-02-13T03:27:00","2011-02-13T03:31:00","2011-02-13T03:37:00","B5.6","S05E09",-162.047,-175.696
"2011-02-13T07:25:00","2011-02-13T07:29:00","2011-02-13T07:32:00","C1.4","N11E91",-946.818,197.779
"2011-02-13T12:29:00","2011-02-13T12:30:00","2011-02-13T12:36:00","C1.1","N12E85",-936.660,205.576
"2011-02-13T13:44:00","2011-02-13T13:45:00","2011-02-13T13:56:00","C4.7","S08E06",-111.742,-224.494
"2011-02-13T17:28:00","2011-02-13T17:30:00","2011-02-13T17:38:00","M6.6","S07E04",-79.9116,-223.978
"2011-02-13T21:17:00","2011-02-13T21:20:00","2011-02-13T21:22:00","C1.1","S06W00",0.00000,-206.836
"2011-02-14T01:31:00","2011-02-14T01:37:00","2011-02-14T01:48:00","B9.3","S07W00",0.00000,-223.300
"2011-02-14T02:35:00","2011-02-14T02:42:00","2011-02-14T02:46:00","C1.6","S07E03",-63.9546,-223.526
"2011-02-14T04:29:00","2011-02-14T04:45:00","2011-02-14T04:49:00","C8.3","S07W00",0.00000,-223.201
"2011-02-14T06:51:00","2011-02-14T06:58:00","2011-02-14T07:03:00","C6.6","S07E00",-16.0004,-223.139
"2011-02-14T12:41:00","2011-02-14T12:45:00","2011-02-14T12:58:00","C9.4","S07W00",15.9997,-222.947
"2011-02-14T13:45:00","2011-02-14T14:27:00","2011-02-14T15:45:00","C8.5","S07W05",95.8242,-223.484
"2011-02-14T16:48:00","2011-02-14T16:53:00","2011-02-14T16:57:00","B7.9","S07W03",63.9474,-223.058
"2011-02-14T17:20:00","2011-02-14T17:26:00","2011-02-14T17:32:00","M2.2","S07W03",63.9468,-223.041
