GSTART,GEND,GPEAK,CLASS,LOC,NOAA_AR
"26-May-2014 20:02:00","26-May-2014 20:20:00","26-May-2014 20:12:00","C1.6","","12065"
"26-May-2014 21:03:00","26-May-2014 21:16:00","26-May-2014 21:08:00","C1.0","","12065"
"26-May-2014 22:49:00","26-May-2014 23:43:00","26-May-2014 23:11:00","C1.1","","12065"
"27-May-2014 14:07:00","27-May-2014 14:23:00","27-May-2014 14:15:00","C4.9","","12065"
"27-May-2014 18:40:00","27-May-2014 19:17:00","27-May-2014 18:51:00","C1.1","S14W27","12071"
"28-May-2014 02:07:00","28-May-2014 02:33:00","28-May-2014 02:21:00","C1.7","","12065"
"28-May-2014 03:31:00","28-May-2014 03:57:00","28-May-2014 03:37:00","B7.4","S20W01","12076"
"28-May-2014 06:38:00","28-May-2014 06:50:00","28-May-2014 06:41:00","B6.3","","12069"
"29-May-2014 04:21:00","29-May-2014 04:40:00","29-May-2014 04:30:00","C1.4","S09W50","12071"
"29-May-2014 08:42:00","29-May-2014 09:12:00","29-May-2014 08:57:00","B3.4","",""
"29-May-2014 17:52:00","29-May-2014 18:30:00","29-May-2014 18:19:00","B4.6","","12073"
"30-May-2014 17:58:00","30-May-2014 18:09:00","30-May-2014 18:06:00","B4.4","","12075"
"31-May-2014 06:57:00","31-May-2014 07:16:00","31-May-2014 07:05:00","C1.1","","12079"
"31-May-2014 13:20:00","31-May-2014 13:26:00","31-May-2014 13:23:00","B6.0","S21W57","12076"
"31-May-2014 14:54:00","31-May-2014 15:38:00","31-May-2014 15:18:00","B9.2","",""
"31-May-2014 15:45:00","31-May-2014 16:03:00","31-May-2014 15:56:00","C1.3","S20W47","12076"
