XCEN,YCEN,FOVX,FOVY
17.16320000000000,-292.2030000000000,394.982,394.982
17.31770000000000,-292.2800000000000,2106.57,2106.57
17.39500000000000,-292.2800000000000,2106.57,2106.57
17.47220000000000,-292.2800000000000,2106.57,2106.57
17.54950000000000,-292.4350000000000,2106.57,2106.57
17.54950000000000,-292.2800000000000,2106.57,2106.57
17.70400000000000,-292.2800000000000,2106.57,2106.57
17.78120000000000,-292.2800000000000,2106.57,2106.57
17.85850000000000,-292.3580000000000,394.982,394.982
17.85850000000000,-292.3580000000000,394.982,394.982
17.78120000000000,-292.3580000000000,2106.57,2106.57
17.93570000000000,-292.2800000000000,2106.57,2106.57
17.93570000000000,-292.3580000000000,2106.57,2106.57
18.01300000000000,-292.2030000000000,2106.57,2106.57
18.09020000000000,-292.3580000000000,2106.57,2106.57
18.24470000000000,-292.3580000000000,2106.57,2106.57
18.24470000000000,-292.2030000000000,2106.57,2106.57
18.32200000000000,-292.2800000000000,2106.57,2106.57
18.47640000000000,-292.3580000000000,394.982,394.982
18.39920000000000,-292.3580000000000,394.982,394.982
18.39920000000000,-292.2030000000000,2106.57,2106.57
18.55370000000000,-292.2030000000000,2106.57,2106.57
18.47640000000000,-292.2030000000000,2106.57,2106.57
18.63090000000000,-292.2030000000000,2106.57,2106.57
18.86270000000000,-292.2030000000000,2106.57,2106.57
18.78540000000000,-292.2800000000000,2106.57,2106.57
18.86270000000000,-292.2030000000000,2106.57,2106.57
19.01720000000000,-292.2030000000000,2106.57,2106.57
19.09440000000000,-292.2800000000000,394.982,394.982
19.09440000000000,-292.3580000000000,394.982,394.982
19.01720000000000,-292.2800000000000,2106.57,2106.57
19.17170000000000,-292.2030000000000,2106.57,2106.57
19.24890000000000,-292.3580000000000,2106.57,2106.57
19.24890000000000,-292.2030000000000,2106.57,2106.57
19.40340000000000,-292.3580000000000,2106.57,2106.57
19.40340000000000,-292.2800000000000,2106.57,2106.57
19.55790000000000,-292.2800000000000,2106.57,2106.57
19.63520000000000,-292.2800000000000,2106.57,2106.57
19.71240000000000,-292.2800000000000,394.982,394.982
19.63520000000000,-292.1260000000000,394.982,394.982
19.71240000000000,-292.3580000000000,2106.57,2106.57
19.71240000000000,-292.2030000000000,2106.57,2106.57
19.86690000000000,-292.2030000000000,2106.57,2106.57
19.86690000000000,-292.3580000000000,2106.57,2106.57
19.94420000000000,-292.2030000000000,2106.57,2106.57
20.02140000000000,-292.1260000000000,2106.57,2106.57
20.09860000000000,-292.2030000000000,2106.57,2106.57
20.25310000000000,-292.2030000000000,2106.57,2106.57
20.25310000000000,-292.1260000000000,394.982,394.982
20.25310000000000,-292.2030000000000,394.982,394.982
20.25310000000000,-292.3580000000000,2106.57,2106.57
20.40760000000000,-292.2800000000000,2106.57,2106.57
20.40760000000000,-292.2800000000000,2106.57,2106.57
20.48490000000000,-292.2800000000000,2106.57,2106.57
20.56210000000000,-292.2030000000000,2106.57,2106.57
20.63940000000000,-292.2800000000000,2106.57,2106.57
20.63940000000000,-292.2030000000000,2106.57,2106.57
20.87110000000000,-292.2030000000000,2106.57,2106.57
20.87110000000000,-292.2800000000000,394.982,394.982
20.94840000000000,-292.2030000000000,394.982,394.982
20.87110000000000,-292.2800000000000,2106.57,2106.57
20.94840000000000,-292.2800000000000,2106.57,2106.57
21.02560000000000,-292.2030000000000,2106.57,2106.57
21.10290000000000,-292.2800000000000,2106.57,2106.57
21.10290000000000,-292.2800000000000,2106.57,2106.57
21.33460000000000,-292.1260000000000,2106.57,2106.57
21.33460000000000,-292.2800000000000,2106.57,2106.57
21.33460000000000,-292.1260000000000,2106.57,2106.57
21.56640000000000,-292.3580000000000,394.982,394.982
21.48910000000000,-292.0490000000000,394.982,394.982
21.48910000000000,-292.1260000000000,2106.57,2106.57
21.48910000000000,-292.0490000000000,2106.57,2106.57
21.64360000000000,-292.1260000000000,2106.57,2106.57
21.72080000000000,-292.1260000000000,2106.57,2106.57
21.79810000000000,-292.1260000000000,2106.57,2106.57
21.95260000000000,-292.2030000000000,2106.57,2106.57
25.66050000000000,-292.1260000000000,2106.57,2106.57
25.81500000000000,-291.9710000000000,2106.57,2106.57
25.89220000000000,-292.0490000000000,2106.57,2106.57
25.96950000000000,-292.1260000000000,394.982,394.982
42.02950000000000,-299.7210000000000,396.311,396.311
25.96950000000000,-291.9710000000000,394.982,394.982
25.96950000000000,-292.0490000000000,2106.57,2106.57
25.96950000000000,-292.2030000000000,526.643,526.643
25.96950000000000,-292.0490000000000,526.643,526.643
26.12400000000000,-292.1260000000000,394.982,394.982
25.96950000000000,-291.9710000000000,2106.57,2106.57
26.12400000000000,-292.1260000000000,394.982,394.982
26.04670000000000,-292.0490000000000,526.643,526.643
26.04670000000000,-292.1260000000000,526.643,526.643
